Brick Atlas is an unofficial community project, not affiliated with the LEGO Group.
10036 Pizza To Go by Robert Paciorek [bercik], CC BY 2.0, https://library.ldraw.org/omr/sets/658
LDraw.org Parts Library. Per-file authors and licenses: credits.json and original packed MPD.
Licenses: https://creativecommons.org/licenses/by/2.0/ and https://creativecommons.org/licenses/by/4.0/
Changes: Dependency closure packed without modifying original files; Geometry converted to millimetres (+Y up); Deterministic brick IDs and functional groups; Geometry batching and lossless gzip; no decimation.

10036 - car.ldr | Robert Paciorek [bercik] | Redistributable under CCAL version 2.0 : see CAreadme.txt
p/stug3-1x7.dat | Steffen [Steffen] | Licensed under CC BY 4.0 : see CAreadme.txt
p/stug3.dat | [PTadmin] | Licensed under CC BY 4.0 : see CAreadme.txt
p/t04o1765.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/t04o6250.dat | Paul Easter [pneaster] | Licensed under CC BY 4.0 : see CAreadme.txt
p/tri3a1.dat | Mark Kennedy [mkennedy] | Licensed under CC BY 4.0 : see CAreadme.txt
p/tri3a4.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/wpin.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/wpin2a.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/2348b.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/2349a.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/2357.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/2412b.dat | Guy Vivan [guyvivan] | Licensed under CC BY 2.0 and CC BY 4.0 : see CAreadme.txt
parts/2420.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/2436a.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/2439.dat | Bernd Broich [bbroich] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/2441.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/2542.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3001.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3003.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3004.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3005.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3008.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3009.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3010.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3020.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3021.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3022.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3023.dat | Orion Pobursky [OrionP] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3023b.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3024.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3068b.dat | Takeshi Takahashi [RainbowDolphin] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3069b.dat | Santeri Piippo [arezey] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3190.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3278.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3460.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3496.dat | Tore Eriksson [Tore_Eriksson] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3496c01.dat | Tore Eriksson [Tore_Eriksson] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3622.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3623.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3626bp01.dat | Tore Eriksson [Tore_Eriksson] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3626bp03.dat | Chris Dee [cwdee] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3626bp08.dat | Stan Isachenko [angmarec] | Licensed under CC BY 2.0 and CC BY 4.0 : see CAreadme.txt
parts/3641.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3659.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3660.dat | [PTadmin] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3660a.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3665a.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3675.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3710.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3788.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3795.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3815.dat | Steve Bliss [sbliss] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3816.dat | Steve Bliss [sbliss] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3817.dat | Steve Bliss [sbliss] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3818.dat | Chris Dee [cwdee] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3819.dat | Chris Dee [cwdee] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3820.dat | Orion Pobursky [OrionP] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3823.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3828.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3829a.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3829c01.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3853.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3856.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3865.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3898.dat | Lee Gaiteri [LummoxJR] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3899.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3940.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3940b.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3957a.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3960p01.dat | Franklin W. Cain [fwcain] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/3962b.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/4070.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/4085b.dat | Chris Dee [cwdee] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/4150p02.dat | Franklin W. Cain [fwcain] | Licensed under CC BY 4.0 : see CAreadme.txt
parts/4485.dat | Thomas Burger [grapeape] | Licensed under CC BY 2.0 and CC BY 4.0 : see CAreadme.txt
parts/4515.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
parts/4589.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
